message,label
"Earthquake just hit! Building collapsed on Main St. Need rescuers NOW!","urgent"
"Anyone missing from Oakwood Apartments? Reply if safe.","rescue"
"Floodwaters rising fast in Riverdale. Evacuate east side immediately.","informational"
"Safe here in downtown after tremor. Checking on neighbors.","safe"
"Donating blankets and water to shelter #FloodRelief TX.","donation"
"Power out since 3am. Hospital generators failing—send help!","urgent"
"Found lost dog near bridge. Photo attached. Owner?","rescue"
"Road to airport blocked by fallen tree. Use Hwy 101 detour.","informational"
"Volunteering at food station tomorrow. Sign up: link.","donation"
"House flooded knee-deep. Lost everything. Red Cross?","damage"
"All family accounted for after quake. Stay strong everyone.","safe"
"Chemical spill on I-95. Hazmat needed urgently!","urgent"
"Missing child last seen in green shirt by park. 5yo boy.","rescue"
"Shelter open at school gym. 200 beds available.","informational"
"Blood drive at clinic. O+ and AB needed most.","donation"
"Bridge out—do NOT cross river. Detour posted.","informational"
"Warehouse fire spreading. Evacuate warehouse district!","urgent"
"Stranded on rooftop. Water please! GPS: 40.7128°N.","rescue"
"Canned goods drop-off at church. Volunteers welcome.","donation"
"Roof caved in from hail. Structural damage severe.","damage"
"Safe at relatives after evacuation. Thanks first responders.","safe"
"Gas leak reported. Stay indoors, windows shut.","informational"
"Need medics—elderly trapped in elevator.","urgent"
"Pet rescue team here. Report animals in distress.","rescue"
"Fundraiser live: gofundme.com/hurricarerelief","donation"
"Wires down sparking fire. Call 911 do not touch.","urgent"
"Apartment intact, minor cracks. Power back on.","safe"
"School bus overturned. Kids ok but need parents.","informational"
"Lost wallet with ID during chaos. Reward offered.","irrelevant"
"Tornado touched down. Barn destroyed, livestock gone.","damage"
"Helping clear debris on Elm St. Join us 8am.","donation"
"Aftershocks continue. Magnitude 4.2 just now.","informational"
"Boat capsized in flood. 3 missing—search ongoing.","rescue"
"Water plant contaminated. Boil advisory issued.","urgent"
"All clear in suburbs. No injuries reported.","safe"
"Clothes and shoes for kids at relief center.","donation"
"Landslide buried highway. Crews digging out.","damage"
"Flash flood warning til midnight. Move to high ground.","informational"
"Injured leg from falling beam. Need ambulance.","urgent"
"Found elderly woman wandering. She's safe now.","rescue"
"Hot meals served at community hall 6-8pm.","informational"
"Home leveled by twister. Family ok but homeless.","damage"
"Power crews en route. ETA 2hrs for outages.","informational"
"Trapped under rubble. Hear me? Send help!","urgent"
"Safe house list: paste link. Check in.","safe"
"Donate via app: CrisisAid #WildfireHelp","donation"
"Tree through roof. Insurance claim tips?","damage"
"Evac route blocked by fire. Alternate: south rd.","informational"
"Volunteer medics needed at field hospital.","donation"
"Winds 80mph. Secure outdoors now!","urgent"
