statement,response_type
"I've been feeling so anxious all week, can't sleep.","empathize"
"My boss yelled at me again, I hate my job.","reflect"
"Why do I always mess up relationships?","question"
"Nothing makes me happy anymore.","normalize"
"I had a panic attack at the store today.","empathize"
"Feeling worthless after the breakup.","reflect"
"How do I stop overthinking everything?","advise"
"I'm scared to leave the house alone.","goal_set"
"Everyone else seems to have it together.","normalize"
"Lost my temper with my kids again.","reflect"
"What if I fail this big presentation?","question"
"I eat junk food when stressed, can't stop.","advise"
"Depressed since losing my dog.","empathize"
"My partner doesn't listen to me.","reflect"
"Procrastinating on everything, hate myself.","goal_set"
"Past trauma keeps replaying in dreams.","normalize"
"Angry all the time, snapping at friends.","question"
"Can't focus at work, mind racing.","empathize"
"Feel invisible in my marriage.","reflect"
"Obsessed with what others think of me.","advise"
"Grieving my parent's death, empty inside.","empathize"
"Addicted to scrolling social media.","goal_set"
"Why am I so lazy? Others succeed.","normalize"
"Fear of flying ruining my vacation.","question"
"Body image issues, hate mirrors.","reflect"
"Overwhelmed by bills, want to give up.","empathize"
"Jealous of my sibling's success.","advise"
"PTSD from car accident, jumpy.","normalize"
"Struggling with loneliness post-move.","reflect"
"How to build self-confidence?","goal_set"
"Binge drinking on weekends to cope.","question"
"Imposter syndrome at new job.","empathize"
"Fighting with spouse over money.","reflect"
"No motivation to exercise or eat well.","advise"
"Child acting out, feel like bad parent.","normalize"
"Betrayed by best friend, trust issues.","empathize"
"Chronic pain worsening my mood.","reflect"
"Perfectionism ruining my life.","goal_set"
"Sad every holiday, family drama.","question"
"Workaholic, no time for hobbies.","advise"
"Social anxiety at parties, awkward.","normalize"
"Regret past decisions, stuck in past.","reflect"
"Craving sugar constantly, emotional eating.","empathize"
"Empty nest, kids gone, lost purpose.","goal_set"
"Fibromyalgia flares trigger irritability.","question"
"Codependent in toxic friendship.","advise"
"Existential dread, what's the point?","normalize"
"OCD rituals taking hours daily.","reflect"
"Hormonal changes messing with mood.","empathize"
"Career burnout, exhausted all the time.","goal_set"
